Type,Material Code,Material Name,UOM,Op.Stock-Warehouse,Received,Issued,Return,Unnamed: 8,Useable Material Total Closing Stock,Production Block,Rejection
RM,11067431,SALT - FLOW,KG,,645.0,5315.0,830.0,,,,
RM,11061702,WHITE SUGAR,KG,,,,,,,,
RM,11002301,MONOSODIUM GLUTAMATE,KG,,,,,,,,
RM,67548375,ONION POWDER,KG,,,,,,,,
RM,11067473,CITRIC ACID MONOHYDRATE (FOOD GRADE),KG,,,,,,,,
RM,11002242,SPICE CELERY POWDER,KG,50.0,,,,,,,25.0
RM,67550393,GARLIC POWDER,KG,,,,,,,,63.23
RM,67548417,WHITE PEPPER,KG,,,,,,,,
RM,11002253,SPICE TURMERIC POWDER,KG,,,,,,,,5.64
RM,11061729,I+G SODIUM 5'RIBONUCLEOTID,KG,,,,,,,,
RM,11827361,DRIED CORN STARCH 5% MOISTURE-SSL,KG,,,,,,,,400.0
RM,11061758,CORN STARCH - IMPORT,KG,,,,,,,,
RM,11067112,YEAST EXTR. MICROGRANUL. STANDARD 18% SA,KG,,,,,,,,
RM,67548424,SOYA SAUCE POWDER,KG,,,,,,,,
RM,11061732,COOKED CHICKEN POWDER IDF,KG,30.0,,,,,,16.3,
RM,11065981,FLAVOUR ULL4064H CHICKEN,KG,,,,,,,,
RM,11066541,INFAT 50,KG,,,,,,,,
RM,11068103,FRYTOL FAT (KNORR SOFT FAT),KG,,,,,,,,
RM,68529522,TURMERIC OLEORESIN,KG,25.0,,,,,,,
RM,69781265,SPICE OLEORESIN,KG,,,,,,,,
RM,69781147,CURRY SPICE POWDER HL,KG,,,,,,,,
,,,,,,,,,,,
RM,11067431,SALT (CITY SALT),KG,2000.0,,,,,,,
RM,11000448,SALT (WELLASSA),KG,,,,,,,,
RM,11000448,SALT (WIS),KG,,,,,,,,
,11000448,SALT (ST ANNE'S),KG,,,,,,,,
RM,11063712,DEHYDRATED MALDIVE FISH,KG,,,,,,,,
RM,67641184,MALDIVE FISH POWDER,KG,,,,,,,63.23,
RM,11055492,SILICA PRECIPITATED,KG,,,,,,,,
RM,67548282,PAPRIKA EXTRACT OIL SOLUBLE,KG,,,,,,,,
RM,11058892,SPICE ROASTED CHILLI POWDER,KG,,,,,,,,
RM,11063692,SMOKE FLAVOR 508386 TP0599,KG,25.0,,,,,,,
,,,,,,,,,,,
RM,11003072,MALTO DEXTRINE,KG,1000.0,,,,,,,
RM,11068106,HUL SPICE MIX 790,KG,100.0,,,,,,,
RM,11068122,ROSE PETAL SD FLAVOR 452746,KG,,,,,,,,
